日期,公司,比赛队伍,赢(最新),平(最新),输(最新),赢(最旧),平(最旧),输(最旧),最新时间,最旧时间
'2021-09-04 22:00,威廉希尔,加巴尼亚 - 克拉科夫(2-2),9.00,5.50,1.25,9.00,5.50,1.25,'2021-09-04 21:39:00,'2021-09-04 18:21:00
'2021-09-04 23:00,百家欧赔,克罗地19 - 土耳其U19(1-1),1.81,3.55,3.69,1.77,3.47,3.89,'2021-09-04 22:52:08,'2021-09-04 10:58:05
'2021-09-04 23:00,威廉希尔,克罗地19 - 土耳其U19(1-1),1.80,3.40,3.70,1.75,3.30,4.00,'2021-09-04 22:44:00,'2021-09-04 16:19:00
'2021-09-04 23:00,百家欧赔,法国U19 - 斯洛伐19(1-1),1.17,6.19,11.98,1.21,5.67,9.79,'2021-09-04 22:52:08,'2021-09-04 10:58:05
'2021-09-04 23:00,威廉希尔,法国U19 - 斯洛伐19(1-1),1.15,5.80,12.00,1.25,4.75,10.00,'2021-09-04 22:55:00,'2021-09-04 18:21:00
'2021-09-04 23:30,百家欧赔,阿尔比诺勒菲 - 苏迪路(1-1),2.57,2.93,2.71,2.53,2.92,2.74,'2021-09-04 23:22:18,'2021-08-30 19:37:57
'2021-09-04 23:30,威廉希尔,阿尔比诺勒菲 - 苏迪路(1-1),2.60,2.90,2.70,2.40,2.88,2.88,'2021-09-04 23:02:00,'2021-09-01 22:23:00
'2021-09-04 23:30,百家欧赔,菲奥伦佐拉 - 雷纳特(2-2),2.64,3.00,2.60,2.69,3.00,2.52,'2021-09-04 23:12:15,'2021-08-30 19:37:57
'2021-09-04 23:30,威廉希尔,菲奥伦佐拉 - 雷纳特(2-2),2.70,2.90,2.60,2.63,3.00,2.50,'2021-09-04 19:08:00,'2021-09-01 22:23:00
'2021-09-04 23:30,百家欧赔,曼托瓦 - 吉安纳(1-1),2.37,2.87,3.06,2.28,2.95,3.08,'2021-09-04 23:22:18,'2021-08-30 19:37:57
'2021-09-04 23:30,威廉希尔,曼托瓦 - 吉安纳(1-1),2.38,2.80,3.10,2.20,3.00,3.00,'2021-09-04 21:07:00,'2021-09-01 22:23:00
'2021-09-04 23:30,百家欧赔,塞尔塔B队 - 巴达霍斯(0-0),3.20,3.03,2.17,3.20,3.13,2.12,'2021-09-04 23:22:18,'2021-08-31 22:34:07
'2021-09-04 23:30,威廉希尔,塞尔塔B队 - 巴达霍斯(0-0),3.25,2.90,2.10,3.20,3.10,2.10,'2021-09-04 23:13:00,'2021-09-02 00:18:00
'2021-09-04 23:30,百家欧赔,利亚格斯特拉 - 桑鲁玖诺(0-0),2.06,3.06,3.43,2.18,3.08,3.11,'2021-09-04 23:22:18,'2021-08-31 23:44:25
'2021-09-04 23:30,威廉希尔,利亚格斯特拉 - 桑鲁玖诺(0-0),2.10,2.80,3.40,2.10,3.30,3.00,'2021-09-04 23:28:00,'2021-09-02 00:18:00
'2021-09-04 23:59,百家欧赔,爱尔兰 - 阿塞拜疆(1-1),1.54,3.77,7.20,1.64,3.70,5.43,'2021-09-04 23:52:26,'2021-08-30 22:38:36
'2021-09-04 23:59,威廉希尔,爱尔兰 - 阿塞拜疆(1-1),1.53,3.60,7.00,1.65,3.60,5.50,'2021-09-04 15:52:00,'2021-08-31 08:23:00
'2021-09-04 23:59,威廉希尔,爱尔兰 - 阿塞拜疆(1-1),1.53,3.60,7.00,1.65,3.60,5.50,'2021-09-04 15:52:00,'2021-08-31 08:23:00
'2021-09-04 23:59,威廉希尔,爱尔兰 - 阿塞拜疆(1-1),1.53,3.60,7.00,1.65,3.60,5.50,'2021-09-04 15:52:00,'2021-08-31 08:23:00
'2021-09-03 00:45,百家欧赔,阿联酋 - 黎巴嫩(0-0),1.23,5.58,11.48,1.34,4.60,8.24,'2021-09-03 00:37:14,'2021-08-25 18:47:26
'2021-09-03 00:45,威廉希尔,阿联酋 - 黎巴嫩(0-0),1.20,6.00,15.00,1.40,4.20,8.50,'2021-09-03 00:40:00,'2021-08-26 02:23:00
'2021-09-03 01:30,百家欧赔,阿古达阿舒多 - 阿卡夏普尔(1-1),4.18,3.31,1.79,2.49,3.15,2.60,'2021-09-03 01:27:36,'2021-09-01 11:07:07
'2021-09-03 01:30,百家欧赔,阿古达阿舒多 - 阿卡夏普尔(1-1),4.18,3.31,1.79,2.49,3.15,2.60,'2021-09-03 01:27:36,'2021-09-01 11:07:07
'2021-09-03 01:30,百家欧赔,比尼叶胡达 - 拉马甘夏普尔(1-1),1.67,3.43,4.68,2.15,3.10,3.18,'2021-09-03 01:27:36,'2021-09-01 11:07:07
'2021-09-03 01:30,百家欧赔,比尼叶胡达 - 拉马甘夏普尔(1-1),1.67,3.43,4.68,2.15,3.10,3.18,'2021-09-03 01:27:36,'2021-09-01 11:07:07
'2021-09-03 01:30,百家欧赔,阿福拉哈普尔 - 拉马特沙龙(1-1),2.05,3.16,3.38,1.69,3.46,4.70,'2021-09-03 01:27:36,'2021-09-01 11:07:07
'2021-09-03 01:30,百家欧赔,阿福拉哈普尔 - 拉马特沙龙(1-1),2.05,3.16,3.38,1.69,3.46,4.70,'2021-09-03 01:27:36,'2021-09-01 11:07:07
'2021-09-03 01:30,百家欧赔,法萨巴夏普尔 - 彼达(0-0),1.87,3.32,3.74,1.53,3.72,5.48,'2021-09-03 01:27:36,'2021-09-01 11:07:07
'2021-09-03 01:30,百家欧赔,法萨巴夏普尔 - 彼达(0-0),1.87,3.32,3.74,1.53,3.72,5.48,'2021-09-03 01:27:36,'2021-09-01 11:07:07
'2021-09-03 01:30,百家欧赔,赖阿南纳 - 阿基纳扎力(0-0),2.26,3.01,3.06,2.21,3.11,3.04,'2021-09-03 01:07:23,'2021-09-01 11:07:07
'2021-09-03 01:30,百家欧赔,赖阿南纳 - 阿基纳扎力(0-0),2.26,3.01,3.06,2.21,3.11,3.04,'2021-09-03 01:07:23,'2021-09-01 11:07:07
'2021-09-03 01:30,百家欧赔,塞克特兹亚 - 乌姆阿法(1-1),2.11,3.01,3.37,1.96,3.22,3.56,'2021-09-03 01:27:36,'2021-09-01 11:07:07
'2021-09-03 01:30,百家欧赔,塞克特兹亚 - 乌姆阿法(1-1),2.11,3.01,3.37,1.96,3.22,3.56,'2021-09-03 01:27:36,'2021-09-01 11:07:07
'2021-09-03 02:45,百家欧赔,意大利 - 保加利亚(1-1),1.08,10.66,29.74,1.09,9.26,26.32,'2021-09-03 02:38:01,'2021-08-23 00:39:13
'2021-09-03 02:45,威廉希尔,意大利 - 保加利亚(1-1),1.06,10.00,34.00,1.08,9.00,29.00,'2021-09-03 01:59:00,'2021-08-26 04:31:00
'2021-09-03 02:45,百家欧赔,北马其顿 - 亚美尼亚(0-0),1.77,3.53,4.74,1.83,3.44,4.27,'2021-09-03 02:38:01,'2021-08-23 00:39:13
'2021-09-03 02:45,威廉希尔,北马其顿 - 亚美尼亚(0-0),1.73,3.30,5.50,1.83,3.40,4.40,'2021-09-03 02:36:00,'2021-08-26 04:31:00
'2021-09-03 04:00,百家欧赔,玻利维亚 - 哥伦比亚(1-1),3.71,3.23,2.08,3.78,3.22,2.01,'2021-09-03 03:48:21,'2021-08-23 18:53:51
'2021-09-03 04:00,威廉希尔,玻利维亚 - 哥伦比亚(1-1),3.70,3.20,2.05,4.20,3.20,1.91,'2021-09-03 03:44:00,'2021-08-26 04:31:00
'2021-09-03 06:00,百家欧赔,弗鲁米嫩塞 - 尤文图德(1-1),1.84,3.04,4.89,1.78,3.32,4.87,'2021-09-03 05:58:59,'2021-07-28 09:50:30
'2021-09-03 06:00,威廉希尔,弗鲁米嫩塞 - 尤文图德(1-1),1.85,3.00,5.00,1.95,3.10,4.20,'2021-09-02 17:45:00,'2021-08-31 18:18:00
'2021-09-03 07:00,百家欧赔,意达古 - 托利马体育(0-0),2.78,2.66,2.74,3.21,2.95,2.22,'2021-09-03 06:59:15,'2021-08-31 20:13:32
'2021-09-03 07:00,威廉希尔,意达古 - 托利马体育(0-0),2.88,2.63,2.70,3.25,2.90,2.25,'2021-09-03 05:52:00,'2021-09-02 18:20:00
'2021-09-03 08:05,百家欧赔,加拿大 - 洪都拉斯(1-1),1.51,3.75,6.45,1.58,3.53,5.73,'2021-09-03 07:59:31,'2021-08-29 11:10:38
'2021-09-03 08:05,威廉希尔,加拿大 - 洪都拉斯(1-1),1.50,3.70,7.50,1.75,3.30,5.00,'2021-09-03 07:53:00,'2021-08-26 08:22:00
'2021-09-03 09:00,百家欧赔,秘鲁 - 乌拉圭(1-1),3.31,2.97,2.36,3.60,2.95,2.20,'2021-09-03 08:59:46,'2021-08-23 18:53:51
'2021-09-03 09:00,威廉希尔,秘鲁 - 乌拉圭(1-1),3.25,2.90,2.38,3.50,3.00,2.20,'2021-09-03 07:42:00,'2021-08-26 10:20:00
'2021-09-03 09:05,百家欧赔,巴拿马 - 哥斯达黎加(0-0),2.51,2.91,2.97,3.00,2.96,2.37,'2021-09-03 08:59:47,'2021-08-29 11:10:38
'2021-09-03 09:05,威廉希尔,巴拿马 - 哥斯达黎加(0-0),2.60,2.90,2.90,3.25,3.10,2.30,'2021-09-03 08:13:00,'2021-08-26 10:20:00
'2021-09-03 10:05,百家欧赔,萨尔瓦多 - 美国(0-0),8.28,4.55,1.36,5.34,3.78,1.57,'2021-09-03 10:00:03,'2021-08-29 11:10:38
'2021-09-03 10:05,威廉希尔,萨尔瓦多 - 美国(0-0),9.50,4.60,1.33,4.60,3.60,1.73,'2021-09-03 07:18:00,'2021-08-26 10:20:00
'2021-09-03 16:15,百家欧赔,匹尼 - 马都拉联(1-1),3.27,3.12,2.12,2.67,3.20,2.49,'2021-09-03 16:11:52,'2021-09-03 07:09:18
'2021-09-03 16:15,威廉希尔,匹尼 - 马都拉联(1-1),3.70,2.90,2.05,2.50,3.40,2.40,'2021-09-03 16:02:00,'2021-09-03 12:17:00
'2021-09-03 16:30,百家欧赔,辽宁沈阳城市 - 浙江队(2-2),11.45,5.83,1.20,9.31,5.18,1.26,'2021-09-03 16:21:55,'2021-09-02 15:54:42
'2021-09-03 16:30,威廉希尔,辽宁沈阳城市 - 浙江队(2-2),15.00,5.00,1.20,9.00,5.00,1.25,'2021-09-03 16:29:00,'2021-09-03 12:17:00
'2021-09-03 21:00,百家欧赔,莫桑比克 - 科特迪瓦(0-0),6.95,3.46,1.52,5.59,3.45,1.61,'2021-09-03 20:53:23,'2021-09-01 19:19:08
'2021-09-03 21:00,威廉希尔,莫桑比克 - 科特迪瓦(0-0),8.00,3.60,1.50,6.00,3.40,1.65,'2021-09-03 20:54:00,'2021-09-02 10:17:00
'2021-09-03 21:00,百家欧赔,津巴布韦 - 南非(0-0),3.68,2.97,2.07,3.19,2.85,2.32,'2021-09-03 20:53:23,'2021-08-30 10:26:10
'2021-09-03 21:00,威廉希尔,津巴布韦 - 南非(0-0),3.75,3.00,2.10,3.40,2.75,2.40,'2021-09-03 20:56:00,'2021-08-31 18:27:00
'2021-09-03 21:00,威廉希尔,津巴布韦 - 南非(0-0),3.75,3.00,2.10,3.40,2.75,2.40,'2021-09-03 20:56:00,'2021-08-31 18:27:00
'2021-09-03 21:00,威廉希尔,津巴布韦 - 南非(0-0),3.75,3.00,2.10,3.40,2.75,2.40,'2021-09-03 20:56:00,'2021-08-31 18:27:00
'2021-09-03 21:00,威廉希尔,津巴布韦 - 南非(0-0),3.75,3.00,2.10,3.40,2.75,2.40,'2021-09-03 20:56:00,'2021-08-31 18:27:00
'2021-09-03 21:00,威廉希尔,津巴布韦 - 南非(0-0),3.75,3.00,2.10,3.40,2.75,2.40,'2021-09-03 20:56:00,'2021-08-31 18:27:00
'2021-09-03 23:59,百家欧赔,沙贝波 - 布赛廷(1-1),3.25,3.28,2.01,3.26,3.25,2.02,'2021-09-03 23:54:24,'2021-09-02 15:44:39
'2021-09-03 23:59,威廉希尔,沙贝波 - 布赛廷(1-1),3.30,3.20,2.05,3.30,3.20,2.05,'2021-09-03 18:18:00,'2021-09-03 18:18:00
'2021-09-02 01:00,百家欧赔,IFK吕勒奥 - 派提亚(0-0),2.77,3.71,2.14,2.36,3.46,2.58,'2021-09-02 00:40:31,'2021-08-26 16:54:33
'2021-09-02 01:00,威廉希尔,IFK吕勒奥 - 派提亚(0-0),2.70,3.50,2.15,2.30,3.25,2.63,'2021-09-02 00:58:00,'2021-09-01 07:03:00
'2021-09-02 01:00,百家欧赔,诺德施泰特 - 阿尔托那(1-1),1.15,7.24,12.25,1.36,4.76,6.76,'2021-09-02 00:50:35,'2021-08-31 13:11:43
'2021-09-02 01:00,威廉希尔,诺德施泰特 - 阿尔托那(1-1),1.15,6.50,12.00,1.40,4.33,6.50,'2021-09-02 00:58:00,'2021-08-31 20:17:00
'2021-09-02 01:00,百家欧赔,凤凰吕贝克 - 德罗特尔森(0-0),2.59,3.27,2.45,2.90,3.36,2.19,'2021-09-02 00:50:35,'2021-08-31 13:11:43
'2021-09-02 01:00,威廉希尔,凤凰吕贝克 - 德罗特尔森(0-0),2.75,3.25,2.38,2.80,3.30,2.25,'2021-09-02 00:55:00,'2021-08-31 20:17:00
'2021-09-02 02:45,百家欧赔,法国 - 波黑(1-1),1.16,7.49,16.72,1.19,6.37,14.52,'2021-09-02 02:41:13,'2021-08-23 00:29:10
'2021-09-02 02:45,威廉希尔,法国 - 波黑(1-1),1.14,7.50,17.00,1.18,6.00,17.00,'2021-09-02 02:33:00,'2021-08-25 04:18:00
'2021-09-02 02:45,百家欧赔,土耳其 - 黑山(2-2),1.62,3.86,5.61,1.52,3.91,6.27,'2021-09-02 02:41:13,'2021-08-23 00:29:10
'2021-09-02 02:45,威廉希尔,土耳其 - 黑山(2-2),1.62,4.00,5.00,1.55,3.80,6.00,'2021-09-02 01:40:00,'2021-08-25 04:18:00
'2021-09-02 02:45,百家欧赔,挪威 - 荷兰(1-1),4.52,3.71,1.77,4.55,3.68,1.73,'2021-09-02 02:41:13,'2021-08-23 00:29:10
'2021-09-02 02:45,威廉希尔,挪威 - 荷兰(1-1),4.75,3.60,1.73,4.80,3.60,1.70,'2021-09-02 02:35:00,'2021-08-25 04:18:00
'2021-09-02 02:45,百家欧赔,俄罗斯 - 克罗地亚(0-0),2.78,3.17,2.63,3.05,3.24,2.32,'2021-09-02 02:31:10,'2021-08-21 00:50:27
'2021-09-02 02:45,威廉希尔,俄罗斯 - 克罗地亚(0-0),2.63,3.10,2.70,3.20,3.10,2.30,'2021-09-02 02:33:00,'2021-08-25 04:18:00
'2021-09-02 02:45,百家欧赔,斯洛文尼亚 - 斯洛伐克(1-1),2.05,3.08,4.14,2.27,3.11,3.24,'2021-09-02 02:41:13,'2021-08-23 00:29:10
'2021-09-02 02:45,威廉希尔,斯洛文尼亚 - 斯洛伐克(1-1),1.95,3.00,4.40,2.20,3.10,3.40,'2021-09-02 01:30:00,'2021-08-25 04:18:00
'2021-09-02 04:00,百家欧赔,拉尼罗斯 - 波哥大公平(0-0),2.86,2.92,2.46,3.30,3.01,2.16,'2021-09-02 03:41:29,'2021-08-31 14:11:57
'2021-09-02 04:00,威廉希尔,拉尼罗斯 - 波哥大公平(0-0),3.00,2.90,2.40,3.30,3.00,2.10,'2021-09-02 03:59:00,'2021-08-31 18:17:00
'2021-09-02 04:30,百家欧赔,科金博 - 伊瓦顿(0-0),3.00,3.11,2.27,3.01,3.26,2.18,'2021-09-02 04:21:40,'2021-08-31 13:51:52
'2021-09-02 04:30,威廉希尔,科金博 - 伊瓦顿(0-0),3.00,3.10,2.30,3.00,3.30,2.10,'2021-09-02 04:27:00,'2021-08-31 18:17:00
'2021-09-02 06:00,百家欧赔,奥哈卡 - 拉亚伊斯(0-0),2.06,3.11,3.33,2.08,3.14,3.31,'2021-09-02 05:52:04,'2021-08-30 04:35:07
'2021-09-02 06:00,威廉希尔,奥哈卡 - 拉亚伊斯(0-0),2.20,3.00,3.25,2.20,3.00,3.25,'2021-09-02 05:57:00,'2021-09-01 07:03:00
'2021-09-02 06:30,百家欧赔,贾奎斯科 - 卡利阿美利加(1-1),3.12,2.81,2.37,2.58,2.98,2.67,'2021-09-02 06:22:12,'2021-08-31 14:01:55
'2021-09-02 06:30,威廉希尔,贾奎斯科 - 卡利阿美利加(1-1),3.10,2.80,2.38,2.63,2.88,2.70,'2021-09-02 06:27:00,'2021-09-01 18:19:00
'2021-09-02 08:00,百家欧赔,康塞普西 - 科布雷罗阿(0-0),2.06,2.91,3.63,2.15,3.07,3.16,'2021-09-02 07:52:34,'2021-08-30 10:36:11
'2021-09-02 08:00,威廉希尔,康塞普西 - 科布雷罗阿(0-0),2.05,3.00,3.60,2.20,3.00,3.20,'2021-09-02 07:58:00,'2021-09-01 07:03:00
'2021-09-02 10:05,百家欧赔,克雷卡米诺斯 - 提拉卡拉(1-1),2.37,3.01,2.87,2.36,2.99,2.92,'2021-09-02 10:03:09,'2021-08-30 05:15:14
'2021-09-02 10:05,威廉希尔,克雷卡米诺斯 - 提拉卡拉(1-1),2.40,3.00,2.88,2.38,2.90,3.00,'2021-09-02 08:11:00,'2021-09-01 07:03:00
'2021-09-02 15:00,百家欧赔,东莞莞联 - 上海嘉定(0-0),9.24,4.93,1.38,5.50,3.78,1.92,'2021-09-02 14:54:25,'2021-09-01 11:07:08
'2021-09-02 15:00,威廉希尔,东莞莞联 - 上海嘉定(0-0),11.00,4.75,1.22,2.40,3.20,2.60,'2021-09-02 14:58:00,'2021-09-01 00:21:00
'2021-09-02 17:00,百家欧赔,华川女足 - 昌宁女足(1-1),1.47,4.20,5.53,1.50,4.14,5.28,'2021-09-02 16:04:44,'2021-09-02 13:13:57
'2021-09-02 17:00,百家欧赔,华川女足 - 昌宁女足(1-1),1.47,4.20,5.53,1.50,4.14,5.28,'2021-09-02 16:04:44,'2021-09-02 13:13:57
'2021-09-02 19:00,百家欧赔,韩国 - 伊拉克(0-0),1.38,4.16,8.31,1.42,4.08,7.22,'2021-09-02 18:55:33,'2021-08-25 18:47:26
'2021-09-02 19:00,威廉希尔,韩国 - 伊拉克(0-0),1.40,3.90,10.00,1.62,3.50,6.00,'2021-09-02 18:59:00,'2021-08-25 20:27:00
'2021-09-02 19:00,百家欧赔,美因茨 - 卡尔斯鲁厄(0-0),1.54,3.99,5.05,1.32,5.07,7.66,'2021-09-02 18:55:34,'2021-09-02 10:13:11
'2021-09-02 19:00,百家欧赔,美因茨 - 卡尔斯鲁厄(0-0),1.54,3.99,5.05,1.32,5.07,7.66,'2021-09-02 18:55:34,'2021-09-02 10:13:11
'2021-09-02 19:30,百家欧赔,尼泊尔 - 印度(1-1),6.34,3.33,1.60,5.99,3.64,1.57,'2021-09-02 19:25:42,'2021-08-29 19:22:55
'2021-09-02 19:30,威廉希尔,尼泊尔 - 印度(1-1),6.50,3.20,1.60,7.50,3.50,1.50,'2021-09-02 19:08:00,'2021-09-02 18:20:00
'2021-09-02 21:00,百家欧赔,肯尼亚 - 乌干达(0-0),2.35,2.75,3.33,2.70,2.81,2.75,'2021-09-02 20:56:09,'2021-08-30 10:26:10
'2021-09-02 21:00,威廉希尔,肯尼亚 - 乌干达(0-0),2.38,2.70,3.60,3.00,2.80,2.63,'2021-09-02 20:57:00,'2021-08-31 18:18:00
'2021-09-02 21:00,百家欧赔,民主刚果 - 坦桑尼亚(1-1),1.49,3.72,6.63,1.52,3.65,6.29,'2021-09-02 20:56:09,'2021-08-30 10:56:15
'2021-09-02 21:00,威廉希尔,民主刚果 - 坦桑尼亚(1-1),1.53,3.60,7.50,1.57,3.60,6.50,'2021-09-02 20:55:00,'2021-08-31 18:18:00
'2021-09-02 23:00,百家欧赔,索史尔扎普 - 济斯科夫(1-1),3.55,3.68,1.84,3.62,3.68,1.84,'2021-09-02 22:56:44,'2021-08-31 02:09:24
'2021-09-02 23:00,威廉希尔,索史尔扎普 - 济斯科夫(1-1),3.30,3.40,1.91,3.10,3.75,1.91,'2021-09-02 22:58:00,'2021-09-01 00:21:00
'2021-09-02 23:59,百家欧赔,腓特烈西亚 - 维堡(1-1),4.18,4.05,1.64,5.05,4.20,1.51,'2021-09-02 23:57:02,'2021-08-31 13:51:52
'2021-09-02 23:59,威廉希尔,腓特烈西亚 - 维堡(1-1),4.33,4.00,1.62,5.00,4.33,1.50,'2021-09-02 23:58:00,'2021-09-01 16:21:00
'2021-09-02 23:59,百家欧赔,纳米比亚 - 刚果(1-1),2.84,2.68,2.73,2.78,2.77,2.69,'2021-09-02 23:57:02,'2021-08-30 10:26:10
'2021-09-02 23:59,威廉希尔,纳米比亚 - 刚果(1-1),2.90,2.75,2.75,2.90,2.70,2.80,'2021-09-02 23:57:00,'2021-08-31 18:18:00
'2021-09-01 00:15,百家欧赔,艾希斯特 - 阿莎芬堡(0-0),2.17,3.40,2.93,1.94,3.61,3.26,'2021-09-01 00:04:29,'2021-08-26 00:09:11
'2021-09-01 00:15,威廉希尔,艾希斯特 - 阿莎芬堡(0-0),2.20,3.20,3.00,1.91,3.50,3.40,'2021-08-31 23:55:00,'2021-08-31 07:01:00
'2021-09-01 00:15,百家欧赔,纽伦堡青年队 - 奥布斯塔特(1-1),3.13,3.51,2.02,2.53,3.43,2.41,'2021-09-01 00:04:29,'2021-08-22 01:01:21
'2021-09-01 00:15,威廉希尔,纽伦堡青年队 - 奥布斯塔特(1-1),3.30,3.40,2.00,2.60,3.25,2.45,'2021-08-31 23:55:00,'2021-08-30 16:17:00
'2021-09-01 00:30,百家欧赔,科尔丁IF - 埃斯比约(1-1),4.66,4.13,1.58,3.74,3.64,1.82,'2021-09-01 00:24:35,'2021-08-30 23:18:45
'2021-09-01 00:30,威廉希尔,科尔丁IF - 埃斯比约(1-1),4.40,4.00,1.60,3.80,3.40,1.83,'2021-09-01 00:27:00,'2021-08-31 14:17:00
'2021-09-01 01:30,百家欧赔,努曼西亚 - 奥萨苏纳(1-1),3.89,3.72,1.77,4.01,3.73,1.75,'2021-09-01 01:24:53,'2021-08-31 23:54:27
'2021-09-01 01:30,百家欧赔,努曼西亚 - 奥萨苏纳(1-1),3.89,3.72,1.77,4.01,3.73,1.75,'2021-09-01 01:24:53,'2021-08-31 23:54:27
'2021-09-01 02:00,百家欧赔,阿费查尔丁 - 维斯崔(2-2),2.26,3.70,2.61,2.40,3.69,2.49,'2021-09-01 01:55:00,'2021-08-10 02:44:00
'2021-09-01 02:00,威廉希尔,阿费查尔丁 - 维斯崔(2-2),2.30,3.50,2.63,2.25,3.90,2.50,'2021-09-01 01:55:00,'2021-08-16 20:27:00
'2021-09-01 02:00,百家欧赔,卡利斯尔联 - 哈特利普(3-3),2.01,3.30,3.44,1.74,3.47,4.22,'2021-09-01 01:55:00,'2021-08-30 01:44:32
'2021-09-01 02:00,威廉希尔,卡利斯尔联 - 哈特利普(3-3),2.10,3.20,3.20,1.70,3.50,4.00,'2021-09-01 01:59:00,'2021-08-30 04:25:00
'2021-09-01 02:00,百家欧赔,维冈竞技 - 狼队U23(0-0),1.40,4.62,6.21,1.48,4.25,5.31,'2021-09-01 01:55:00,'2021-08-30 02:24:41
'2021-09-01 02:00,威廉希尔,维冈竞技 - 狼队U23(0-0),1.40,4.00,7.50,1.50,4.50,4.50,'2021-09-01 01:59:00,'2021-08-30 04:25:00
'2021-09-01 02:00,百家欧赔,格兰森林流浪 - 北安普敦(1-1),1.87,3.41,3.75,2.03,3.31,3.25,'2021-09-01 01:55:00,'2021-08-30 01:44:32
'2021-09-01 02:00,威廉希尔,格兰森林流浪 - 北安普敦(1-1),1.80,3.40,4.00,2.05,3.25,3.00,'2021-09-01 01:59:00,'2021-08-30 04:25:00
'2021-09-01 02:45,百家欧赔,康纳斯基 - 卡纳芬(1-1),1.18,6.33,11.62,1.32,4.94,7.36,'2021-09-01 02:35:09,'2021-08-30 13:06:39
'2021-09-01 02:45,威廉希尔,康纳斯基 - 卡纳芬(1-1),1.14,7.00,13.00,1.30,5.00,8.50,'2021-09-01 02:42:00,'2021-08-30 16:17:00
'2021-09-01 02:45,百家欧赔,斯托克港 - 格林斯比(0-0),1.94,3.25,3.82,1.95,3.44,3.49,'2021-09-01 02:35:10,'2021-08-29 01:07:35
'2021-09-01 02:45,威廉希尔,斯托克港 - 格林斯比(0-0),2.00,3.10,3.70,1.95,3.40,3.50,'2021-09-01 02:42:00,'2021-08-29 12:23:00
'2021-09-01 02:45,百家欧赔,阿克宁顿 - 巴罗(2-2),1.90,3.42,3.85,1.43,4.24,6.42,'2021-09-01 02:35:10,'2021-08-30 01:44:32
'2021-09-01 02:45,威廉希尔,阿克宁顿 - 巴罗(2-2),2.00,3.20,3.50,1.50,4.00,5.00,'2021-09-01 02:44:00,'2021-08-30 04:25:00
'2021-09-01 08:00,百家欧赔,圣塔克鲁兹 - 圣地亚哥早晨(1-1),2.36,2.85,3.02,2.45,3.10,2.64,'2021-09-01 07:46:21,'2021-08-30 10:36:11
'2021-09-01 08:00,威廉希尔,圣塔克鲁兹 - 圣地亚哥早晨(1-1),2.50,2.75,3.00,2.40,3.10,2.75,'2021-09-01 07:50:00,'2021-08-31 07:01:00
'2021-09-01 15:00,百家欧赔,河北功夫 - 青岛青春岛(0-0),1.82,3.38,3.99,2.33,3.10,3.04,'2021-09-01 14:58:02,'2021-09-01 10:47:03
'2021-09-01 15:00,威廉希尔,河北功夫 - 青岛青春岛(0-0),2.15,3.10,3.25,3.00,3.00,2.30,'2021-09-01 10:55:00,'2021-09-01 09:54:00
'2021-09-01 18:00,百家欧赔,南阿德莱 - 阿德莱德彗星(1-1),3.66,3.91,1.75,3.60,3.89,1.78,'2021-09-01 17:58:47,'2021-08-31 10:21:06
'2021-09-01 18:00,威廉希尔,南阿德莱 - 阿德莱德彗星(1-1),3.60,3.80,1.80,3.25,4.00,1.80,'2021-09-01 17:25:00,'2021-09-01 10:17:00
'2021-09-01 18:00,百家欧赔,浦和红钻 - 川崎前锋(1-1),5.18,3.57,1.64,4.87,3.77,1.63,'2021-09-01 17:58:48,'2021-08-30 15:17:04
'2021-09-01 18:00,威廉希尔,浦和红钻 - 川崎前锋(1-1),5.00,3.60,1.60,4.80,3.70,1.60,'2021-09-01 17:14:00,'2021-08-30 15:19:00
'2021-09-01 18:00,百家欧赔,沃尔夫斯堡 - 汉诺威96(3-3),1.69,3.78,4.10,1.72,3.71,4.07,'2021-09-01 17:58:48,'2021-09-01 11:37:15
'2021-09-01 18:00,百家欧赔,沃尔夫斯堡 - 汉诺威96(3-3),1.69,3.78,4.10,1.72,3.71,4.07,'2021-09-01 17:58:48,'2021-09-01 11:37:15
'2021-09-01 21:00,百家欧赔,彭亨 - 吉达(2-2),3.47,3.64,1.85,3.41,3.48,1.95,'2021-09-01 20:59:34,'2021-08-31 11:31:21
'2021-09-01 21:00,威廉希尔,彭亨 - 吉达(2-2),4.20,3.50,1.70,3.20,3.60,1.91,'2021-09-01 20:59:00,'2021-09-01 07:03:00
'2021-09-01 21:00,百家欧赔,中非 - 佛得角(1-1),6.25,3.46,1.59,3.60,3.05,2.13,'2021-09-01 20:59:34,'2021-08-30 10:16:08
'2021-09-01 21:00,威廉希尔,中非 - 佛得角(1-1),7.00,3.60,1.53,4.20,3.10,1.95,'2021-09-01 20:59:00,'2021-08-31 18:27:00
'2021-09-01 22:00,百家欧赔,哈萨克斯坦 - 乌克兰(2-2),8.44,4.45,1.40,7.28,4.09,1.45,'2021-09-01 21:59:49,'2021-08-23 00:19:07
'2021-09-01 22:00,威廉希尔,哈萨克斯坦 - 乌克兰(2-2),9.50,4.40,1.35,8.00,4.00,1.44,'2021-09-01 21:48:00,'2021-08-24 22:23:00
'2021-09-01 23:30,百家欧赔,MP米凯利 - PK35万塔(1-1),2.20,3.50,2.99,2.66,3.20,2.49,'2021-09-01 23:20:11,'2021-06-26 07:44:29
